date,track,track_key,hhmm,race_time_iso,category_raw,category_norm,TimeformTop1,TimeformTop2,TimeformTop3,Forecast1,Forecast2,Forecast3,Forecast1Odds,Forecast2Odds,Forecast3Odds
2026-01-17,Doncaster,Doncaster,19:24,2026-01-17T19:24,A,A,Slaneyside Jan,Abigail Surprise,Ardmoulin Flyer,Slaneyside Jan,Railteen Sarah,Abigail Surprise,2.25,3.25,4.33
2026-01-17,Doncaster,Doncaster,19:42,2026-01-17T19:42,A,A,Leahs Pat,Ballinabola Zoey,Grovenor Apache,Leahs Pat,Grovenor Apache,Ballinabola Zoey,2.38,3.75,4.0
2026-01-17,Doncaster,Doncaster,19:58,2026-01-17T19:58,A,A,Toddys Wolf,Slaneyside Swade,Grovenor Mona,Toddys Wolf,Slaneyside Swade,Grovenor Mona,1.67,2.75,3.75
2026-01-17,Doncaster,Doncaster,20:16,2026-01-17T20:16,A,A,Look Smart,Butlers Lane,Unanimous Leon,Look Smart,Butlers Lane,Unanimous Leon,3.0,3.5,3.5
2026-01-17,Doncaster,Doncaster,20:34,2026-01-17T20:34,A,A,Tiermana Blaze,Sole Focus,Ballymac Alyssa,Sole Focus,Tiermana Blaze,Ballymac Alyssa,2.1,2.5,5.0
2026-01-17,Doncaster,Doncaster,20:52,2026-01-17T20:52,A,A,Haggard Badger,Bouncing Monarch,Soapy Suds,Haggard Badger,Bouncing Monarch,Soapy Suds,2.1,3.25,4.5
2026-01-17,Sheffield,Sheffield,19:30,2026-01-17T19:30,A,A,Catunda Missy,Thee Quiet Man,Lightfoot Rocky,Catunda Missy,Thee Quiet Man,Lightfoot Rocky,2.88,3.5,5.5
2026-01-17,Sheffield,Sheffield,19:47,2026-01-17T19:47,A,A,Croagh Patrick,Corcass Ranger,Dapper Ted,Croagh Patrick,Corcass Ranger,Dapper Ted,2.88,3.75,4.5
2026-01-17,Sheffield,Sheffield,20:04,2026-01-17T20:04,A,A,Gurtnacrehy Mark,Joyces Sadie,Sheffield Bella,Gurtnacrehy Mark,Joyces Sadie,Swift Usual,2.1,2.38,3.5
2026-01-17,Sheffield,Sheffield,20:21,2026-01-17T20:21,A,A,Colrose Blue,Keady Wine,Golfing Queen,Colrose Blue,Keady Wine,Golfing Queen,3.2,3.75,3.75
2026-01-17,Sheffield,Sheffield,20:38,2026-01-17T20:38,A,A,Mustang Gracie,Station Cracker,The Other Coco,Mustang Gracie,Station Cracker,The Other Coco,1.91,3.0,3.25
2026-01-17,Sheffield,Sheffield,20:55,2026-01-17T20:55,A,A,Colrose Flyer,Epic Estimate,La Flor,Colrose Flyer,Epic Estimate,Colrose Star,2.75,4.5,4.5
2026-01-17,Sheffield,Sheffield,21:12,2026-01-17T21:12,A,A,Tatti Gamble,Crystal Bruno,Lightfoot Dream,Crystal Bruno,Tatti Gamble,Rackethall Penny,1.2,3.25,5.5
2026-01-17,Sheffield,Sheffield,21:29,2026-01-17T21:29,A,A,Rowington Rebel,La Hermosa,Footfield Lottie,Rowington Rebel,La Hermosa,Debbiethewitch,1.91,3.75,5.0
