date,track,hhmm,category_raw,category_norm,dog_name,strategy_tag,stake
2026-01-17,Sheffield,20:04,A,A,Gurtnacrehy Mark,BACK,1.0
2026-01-17,Sheffield,20:04,A,A,Joyces Sadie,BACK,1.0
2026-01-17,Sheffield,20:04,A,A,Swift Usual,BACK,1.0
2026-01-17,Sheffield,20:21,A,A,Colrose Blue,BACK,1.0
2026-01-17,Sheffield,20:21,A,A,Keady Wine,BACK,1.0
2026-01-17,Sheffield,20:21,A,A,Golfing Queen,BACK,1.0
2026-01-17,Sheffield,20:38,A,A,Mustang Gracie,BACK,1.0
2026-01-17,Sheffield,20:38,A,A,Station Cracker,BACK,1.0
2026-01-17,Sheffield,20:38,A,A,The Other Coco,BACK,1.0
2026-01-17,Sheffield,20:55,A,A,Colrose Flyer,BACK,1.0
2026-01-17,Sheffield,20:55,A,A,Epic Estimate,BACK,1.0
2026-01-17,Sheffield,20:55,A,A,Colrose Star,BACK,1.0
2026-01-17,Sheffield,21:12,A,A,Crystal Bruno,BACK,1.0
2026-01-17,Sheffield,21:12,A,A,Tatti Gamble,BACK,1.0
2026-01-17,Sheffield,21:12,A,A,Rackethall Penny,BACK,1.0
2026-01-17,Sheffield,21:29,A,A,Rowington Rebel,BACK,1.0
2026-01-17,Sheffield,21:29,A,A,La Hermosa,BACK,1.0
2026-01-17,Sheffield,21:29,A,A,Debbiethewitch,BACK,1.0
